specobjid,ra,dec,plate,mjd,fiberid,subClass,fiberid1,z,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_cont,h_beta_cont,h_gamma_cont,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,e_bv_sfd,[O III]/Hb,Hb/Hg,[O III]/Hg
2730428839569156096,127.78915,14.58026,2425,54139,442,BROADLINE,442,0.5659922,506.2195,422.1902,262.1238,29.94344,38.47493,35.34935,-18.0927,-7.778267,-5.949778,0.04197626,1.199032,1.610652,1.931223
522575918460332032,60.454082,-5.6823991,464,51908,576,BROADLINE,576,0.5702274,148.7329,367.0603,323.8767,57.14161,71.39732,71.23429,-2.41747,-3.915135,-3.742576,0.0965671,0.4052001,1.133334,0.4592269
1057267335749986304,141.95448,40.642222,939,52636,172,BROADLINE,172,0.4219211,298.0036,575.824,338.8394,56.73093,69.22767,71.62483,-4.9522,-5.977588,-3.974574,0.01403132,0.5175255,1.699401,0.8794833
2828420609975805952,179.22042,17.765032,2512,53877,582,BROADLINE,582,0.5215923,278.7357,673.3281,302.8383,52.78059,68.43729,72.00065,-4.728466,-6.979514,-3.349067,0.04497579,0.4139671,2.223392,0.9204111
2979187303743776768,186.22692,21.379555,2646,54479,204,BROADLINE,204,0.4338264,243.7922,1557.825,813.9636,86.96144,114.3347,113.3196,-2.156862,-9.889492,-6.082488,0.02289122,0.1564952,1.913876,0.2995124
459535142944270336,40.667974,0.95755971,408,51821,611,BROADLINE,611,0.5689139,1204.775,927.9932,437.2401,45.12031,57.54585,57.84201,-26.69479,-11.62149,-5.955662,0.03383083,1.298259,2.122388,2.755408
1099036129480435712,257.88044,33.595388,976,52413,574,BROADLINE,574,0.4689836,333.6759,1784.66,760.7375,50.67288,60.42264,67.73772,-4.834087,-20.90205,-8.931453,0.03079161,0.1869689,2.345961,0.4386216
2837389338185066496,237.68164,11.346521,2520,54584,442,BROADLINE,442,0.4358573,631.3001,178.4678,103.8488,9.809908,12.37482,10.95733,-67.54519,-11.22126,-7.535292,0.05334958,3.537334,1.718534,6.07903
624894827279968256,144.3867,54.618835,555,52266,74,BROADLINE,74,0.4688599,352.2626,552.9328,257.3792,30.49521,39.49772,39.32949,-10.81072,-10.00354,-5.456733,0.02161665,0.6370804,2.14832,1.368653
301805798739175424,149.49356,-0.39835189,268,51633,235,BROADLINE,235,0.595322,281.3248,677.1182,210.7526,34.10449,47.45277,46.19794,-6.91487,-9.859278,-3.735706,0.03354528,0.4154737,3.212858,1.334858
895235601370998784,234.05038,52.698492,795,52378,528,BROADLINE,528,0.5607508,291.8894,625.2177,331.0123,29.62135,35.98756,38.85682,-8.39417,-12.8672,-6.966084,0.01193781,0.4668604,1.888805,0.8818083
2978041887471986688,184.08088,21.564188,2645,54477,133,BROADLINE,133,0.4930311,749.1631,937.1426,380.9955,36.06544,48.26599,48.60861,-22.51639,-14.06366,-6.25501,0.02225282,0.7994121,2.459721,1.96633
2844134292232103936,241.91377,10.598803,2526,54582,404,BROADLINE,404,0.4583784,325.5394,965.0396,478.3983,45.42752,57.84425,62.01532,-5.393373,-11.94227,-6.25666,0.05439631,0.3373327,2.017231,0.6804778
1009998780595988480,133.39271,43.817314,897,52605,242,BROADLINE,242,0.5136945,249.2819,1483.066,669.5095,52.3148,64.09176,70.65816,-4.062997,-16.58844,-7.557619,0.03365997,0.1680855,2.215153,0.372335
963784103394568192,210.1332,4.0826777,856,52339,50,BROADLINE,50,0.4271503,709.0454,2298.788,998.02,72.14426,84.87818,90.62402,-8.295594,-19.17619,-8.716237,0.03264315,0.3084432,2.303349,0.7104521
811898664782948352,337.78783,-8.1501615,721,52228,454,BROADLINE,454,0.502505,232.9132,574.8325,236.7077,15.56084,19.85397,21.13287,-14.9887,-20.61713,-8.898745,0.05165878,0.4051845,2.428448,0.9839695
1907422934511675392,191.72514,13.219642,1694,53472,540,BROADLINE,540,0.5119441,390.2738,1848.843,642.0489,63.67767,78.32061,85.33357,-4.687064,-16.54789,-6.035479,0.0279867,0.2110908,2.879598,0.6078568
725193101039134720,327.56153,-6.8873427,644,52173,413,BROADLINE,413,0.5896417,553.8297,1035.502,430.0921,46.47807,60.31709,60.89715,-9.838335,-12.73695,-5.641462,0.04080473,0.5348418,2.407628,1.2877
863647729702692864,139.99,51.102669,767,52252,300,BROADLINE,300,0.5540618,236.975,934.5037,600.4539,62.7714,76.72672,84.22493,-2.786058,-8.894829,-5.820669,0.01614243,0.2535838,1.556329,0.3946598
635137052265965568,130.76239,3.0385829,564,52224,471,BROADLINE,471,0.5112072,529.0925,2766.907,1190.82,97.57015,121.4079,128.9991,-4.118898,-16.15146,-7.465265,0.03008878,0.1912216,2.323531,0.4443092
1792437649659684864,140.38757,32.222354,1592,52990,18,BROADLINE,18,0.5841894,350.3535,459.9291,300.9683,42.01795,53.31884,53.40653,-9.042761,-6.518604,-4.497528,0.01962814,0.7617553,1.528165,1.164088
738667890496006144,10.592888,-10.628805,656,52148,282,BROADLINE,282,0.4236842,472.5421,1365.047,651.0966,68.51748,80.91918,88.25294,-5.247416,-12.31159,-6.031228,0.02947504,0.3461726,2.096536,0.7257633
523709240104216576,63.042415,-5.1859044,465,51910,603,BROADLINE,603,0.5496119,3134.304,799.0661,408.7592,46.49559,51.6121,45.0305,-62.72372,-11.59554,-7.305792,0.0680838,3.92246,1.954858,7.667851
